,part1, part2, part3,Latitude,Longitude
117,Грайвороновская улица,,,55.719955,37.7322395
118,Грина улица,,,55.5652661,37.5776651
119,Гришина улица,,,55.7227525,37.4177106
120,Гурьевский проезд, 15,,55.6066134,37.7471547
121,Гурьевский проезд, 25,,55.607988,37.75479
122,Гурьянова улица,,,55.6827741,37.7186822
123,Дежнева проезд,,,55.8709395,37.6384186
124,Дежнева улица,,,55.8709395,37.6384186
125,Демьяна Бедного улица,,,55.77570360000001,37.4882307
126,Дмитрия Донского улица, 15,,55.564047,37.574865
127,Дмитрия Донского улица, 9,,55.5752387,37.5801181
128,Дмитровское шоссе, 103,,55.8763599,37.54553629999999
129,Дмитровское шоссе, 135,,55.8912288,37.5414681
130,Дмитровское шоссе, 45,,55.8349082,37.5724776
131,Днепропетровская улица, 16,,55.6170285,37.583282
132,Днепропетровская улица, 3,,55.62213999999999,37.6024152
133,Домодедовская улица, 12,,55.614017,37.705866
134,Домодедовская улица, 42,,55.6024998,37.7140482
135,Донбасская улица,,,55.5949219,37.6597543
136,Донелайтиса проезд,,,55.8435072,37.4201634
137,Дубнинская улица, 36,,55.8864473,37.5585764
138,Дубнинская улица, 4,,55.858688,37.5683502
139,Дубнинская улица, 44,,55.89061839999999,37.5574378
140,Дубнинская улица, 52,,55.897414,37.5524534
141,Жулебинский бульвар, 25,,55.68991159999999,37.8522086
142,Жулебинский бульвар, 30,,55.6888478,37.8535304
143,Жулебинский бульвар, 36,,55.685601,37.848681
144,Жулебинский бульвар, 9,,55.69827129999999,37.847679
145,Зарайская улица,,,55.72964839999999,37.7715029
146,Зеленодольская улица, 11,,55.7120384,37.779625
147,Зеленодольская улица, 30,,55.710625,37.7700419
148,Зои и Александра Космодемьянских улица,,,55.8218745,37.5146041
149,Золоторожский вал, ТД Золоторожский,,55.7508887,37.6839955
150,Ивана Франко улица,,,55.7278664,37.4251469
151,Измайловский бульвар,,,55.7966059,37.8022356
152,Измайловский проспект,,,59.91376589999999,30.3076313
153,Изумрудная улица,,,55.8727203,37.6849041
154,Илимская улица,,,55.8912057,37.5768875
155,Инженерная улица,,,59.93739779999999,30.3356195
156,Исаковского улица,,,55.8130329,37.4101195
157,Кантемировская улица, 17,,55.6367025,37.67295319999999
158,Кантемировская улица, 18,,55.637448,37.683007
159,Кантемировская улица, 5,,55.636412,37.6756739
160,Кантемировская улица, 7,,55.63626290000001,37.6724677
161,Каргопольская улица,,,55.8625836,37.5910565
162,Карельский бульвар,,,55.8953722,37.5355163
163,Касимовская улица,,,55.59578759999999,37.6554219
164,Кастанаевская улица,,,55.73508349999999,37.4766112
165,Каширское шоссе, 118,,55.6056738,37.7160241
166,Каширское шоссе, 57,,55.63777870000001,37.6957094
167,Каширское шоссе, 96,,55.42812499999999,37.769928
168,Керченская улица,,,55.65651099999999,37.5843678
169,Кетчерская улица,,,55.7438569,37.8269276
170,Кибальчича улица,,,55.8160018,37.6500456
171,Кирпичные Выемки улица,,,55.5864305,37.6045204
172,Клинская улица,,,55.8698865,37.4980694
173,Ключевая улица, ТЦ Братеевский,,55.6376703,37.75726179999999
174,Клязьминская улица,,,55.8906895,37.5285581
175,Коломенский проезд,,,55.6648897,37.6419668
176,Коминтерна улица,,,55.8692945,37.687364
177,Комсомольская площадь,,,55.7746315,37.6547806
178,Коненкова улица,,,55.8900048,37.6078229
179,Коптевский бульвар,,,55.83107589999999,37.525213
180,Корнейчука улица,,,55.8990696,37.6229568
181,Коровинское шоссе, 21,,55.8760876,37.52450839999999
182,Коровинское шоссе, 23,,55.877239,37.523304
183,Коровинское шоссе, 26,,55.8832355,37.5187378
184,Коштоянца улица,,,55.675147,37.48224690000001
185,Красного Маяка улица, 15,,55.6080285,37.57946829999999
186,Красного Маяка улица, 16,,55.6135797,37.58101449999999
187,Красного Маяка улица, 3,,55.611437,37.597373
188,Краснодонская улица,,,55.6803835,37.7493002
189,Красноказарменная улица,,,55.75737489999999,37.6992149
190,Красностуденческий проезд,,,55.8248876,37.5651611
191,Красноярская улица,,,55.82097400000001,37.8342351
192,Красный Казанец улица,,,55.71911559999999,37.813799
193,Криворожская улица,,,55.668587,37.6143109
194,Куликовская улица,,,55.57365790000001,37.5658507
195,Курганская улица,,,55.82851669999999,37.8105914
196,Кусковская улица,,,55.7390887,37.7791377
197,Лазаревский переулок,,,55.7912198,37.6133283
198,Лазо улица,,,55.7439542,37.7730181
199,Лебедянская улица,,,55.5862531,37.6777037
200,Ленинский проспект, 127,,55.645775,37.4767499
201,Ленинский проспект, 130,,59.85227,30.271134
202,Ленинский проспект, 61,,55.6948619,37.5584711
203,Лермонтовский проспект, 12,,55.69920699999999,37.854611
204,Лермонтовский проспект, 21,,55.699958,37.856549
205,Лескова улица,,,55.8977647,37.6060388
206,Летчика Бабушкина улица,,,55.8600593,37.6739282
207,Липецкая улица,,,55.5968357,37.6720406
208,Литовский бульвар,,,55.6128066,37.53713930000001
209,Лихоборские бугры улица,,,55.8431553,37.54701730000001
210,Лобненская улица, 6,,55.8904735,37.5372436
211,Лодочная улица,,,55.8430972,37.4604039
212,Лосевская улица,,,55.8751832,37.7130968
213,Луговой проезд, 12,,55.6463236,37.7524139
214,Луговой проезд, 2,,55.651151,37.7505729
215,Лукинская улица,,,55.64792,37.3435345
216,Львово деревня,,,55.2799687,37.111258
217,Люблинская улица, 108а,,55.651277,37.741189
218,Люблинская улица, 126,,55.6456074,37.7432237
219,Люблинская улица, 31,,55.6995072,37.7338645
220,Малахитовая улица,,,55.8308843,37.6631351
221,Малая Ботаническая улица,,,55.8320641,37.5878628
222,Малая Грузинская улица,,,55.7669918,37.5723598
223,Малая Набережная улица,,,55.8347594,37.453987
224,Малая Тульская улица,,,55.7058949,37.6174012
225,Малая Филёвская улица,,,55.73581799999999,37.463958
226,Малая Черкизовская улица,,,55.8021724,37.715765
227,Маломосковская улица,,,55.813253,37.6461651
228,Малыгина улица, 1,,55.8765646,37.7009997
229,Малыгина улица, 9,,55.881348,37.693112
230,Малышева улица,,,55.1579039,59.6406204
231,Марии Поливановой улица,,,55.67941270000001,37.451467
232,Маршала Бирюзова улица,,,55.7955713,37.4895244
233,Маршала Голованова улица,,,55.64767800000001,37.7294152
234,Маршала Жукова улица,,,55.7796533,37.4455472
235,Маршала Захарова улица, 16,,55.6212275,37.696964
236,Маршала Захарова улица, 5,,55.6224725,37.7051428
237,Маршала Мерецкова улица,,,55.7943794,37.4885034
238,Маршала Неделина улица,,,55.7259094,37.41211029999999
239,Маршала Новикова улица,,,60.0213917,30.2740112
240,Маршала Рокоссовского бульвар,,,55.8135501,37.7208747
241,Маршала Чуйкова улица,,,55.69968799999999,37.7592115
242,Матвеевская улица,,,55.7026535,37.4720204
243,Медиков улица,,,55.6333612,37.6787612
244,Мелитопольская улица,,,55.5866871,37.6296807
245,Мелиховская улица,,,55.9021854,37.6087123
246,Менжинского улица,,,55.86740469999999,37.6695988
247,Миллионщикова улица,,,55.667136,37.6476584
248,Мира проспект,,,55.8107827,37.6404026
249,Митинская улица, 17,,55.842448,37.36763200000001
250,Митинская улица, 31,,55.84651599999999,37.35669499999999
251,Митинская улица, 43,,55.849631,37.352561
252,Михневская улица,,,55.58197,37.6617948
253,Мичуринский проспект, 44,,55.6946906,37.4920635
254,Мичуринский проспект, 9,,55.674738,37.4641189
255,Мневники улица, 7,,55.771756,37.4939279
256,Мневники улица, 9,,55.772123,37.4897899
257,Молдавская улица,,,55.7304554,37.440559
258,Молостовых улица, 21,,55.7505138,37.8317462
259,Молостовых улица, 9,,55.7585421,37.8328376
260,Москворечье улица,,,55.64660439999999,37.6500868
261,Московский, Атласова улица,,55.60125670000001,37.3559994
262,Московский, Солнечная улица,,55.5911118,37.3657196
263,Мурановская улица, 12,,55.89592099999999,37.603933
264,Мурановская улица, 15,,55.89417899999999,37.601075
265,Мусы Джалиля улица, 16,,55.6239652,37.7420947
266,Мусы Джалиля улица, 27,,55.61912599999999,37.744915
267,Мячковский бульвар,,,55.6537342,37.7574689
268,Нагатинская набережная, 12,,55.6820448,37.6451827
